,lecturer,type,duration,rooms,groups
51,14,Exercises,135,"[48, 19, 10]",[0]
52,25,Exercises,135,"[59, 38, 64]",[0]
53,57,Exercises,135,[56],[0]
54,22,Exercises,135,[55],[0]
55,15,Exercises,135,"[26, 49, 44]",[0]
56,5,Exercises,135,"[41, 9, 24]",[0]
57,51,Lecture,135,"[39, 64, 46, 5]","[15, 56, 59, 51, 78]"
58,10,Exercises,135,"[63, 5]",[0]
59,61,Exercises,135,[52],[0]
60,14,Exercises,135,[58],[0]
61,25,Lecture,135,"[15, 49, 55]","[49, 44, 25, 14, 32, 72]"
62,12,Exercises,135,"[16, 27, 62, 1]",[0]
63,9,Exercises,135,"[44, 61]",[0]
64,18,Exercises,135,[13],[0]
65,59,Exercises,135,"[61, 26]",[0]
66,42,Lecture,135,"[28, 20]",[3]
67,8,Lecture,135,"[1, 12]","[77, 38, 25, 75, 40]"
68,32,Exercises,135,"[65, 44, 33]",[0]
69,45,Exercises,135,"[35, 40, 65]",[0]
70,9,Lecture,135,"[55, 58, 6, 64]","[20, 21]"
71,4,Lecture,135,"[12, 33, 47]","[60, 69, 35, 49, 30]"
72,13,Lecture,135,"[25, 60, 14]","[7, 44]"
73,41,Lecture,135,"[43, 32, 30, 22]","[68, 76, 60, 47, 20, 90]"
74,62,Exercises,135,"[16, 37]",[0]
75,26,Exercises,135,"[3, 7]",[0]
76,0,Lecture,135,"[15, 63]","[13, 5, 14, 49, 9, 4]"
77,50,Lecture,135,[44],"[65, 48, 68]"
78,8,Exercises,135,"[54, 24]",[0]
79,51,Exercises,135,"[5, 67, 34]",[0]
80,41,Exercises,135,"[37, 47]",[0]
81,35,Exercises,135,"[64, 10, 37, 27]",[0]
82,22,Exercises,135,[62],[0]
83,50,Exercises,135,[42],[0]
84,33,Exercises,135,"[58, 33]",[0]
85,9,Exercises,135,"[35, 57, 37]",[0]
86,31,Exercises,135,[10],[0]
87,14,Lecture,135,"[10, 29, 24, 31]","[80, 46, 20]"
88,62,Exercises,135,"[29, 8]",[0]
89,39,Exercises,135,"[45, 27]",[0]
90,9,Exercises,135,[48],[0]
91,26,Exercises,135,"[7, 31, 52, 22]",[0]
92,49,Lecture,135,"[37, 63]","[27, 26, 74, 10, 53]"
93,21,Exercises,135,"[8, 46]",[0]
94,13,Exercises,135,"[24, 59, 63, 38]",[0]
95,6,Exercises,135,"[7, 5, 23]",[0]
96,20,Exercises,135,[32],[0]
97,5,Lecture,135,"[9, 8, 2]","[37, 22, 21]"
98,49,Lecture,135,"[5, 24]","[19, 41]"
99,21,Exercises,135,[65],[0]
100,57,Lecture,135,[27],"[43, 18, 2]"
101,39,Exercises,135,[35],[0]
102,16,Exercises,135,"[1, 45, 38]",[0]
103,50,Exercises,135,"[59, 20]",[0]
104,9,Exercises,135,[52],[0]
105,34,Exercises,135,[4],[0]
106,12,Exercises,135,"[64, 34, 32]",[0]
107,56,Lecture,135,[67],"[89, 47, 54, 36, 39, 67]"
108,21,Exercises,135,"[43, 2]",[0]
109,55,Exercises,135,"[53, 49]",[0]
110,15,Exercises,135,[46],[0]
111,23,Lecture,135,"[1, 20, 12, 38]","[0, 45, 19, 87, 79, 33]"
112,44,Exercises,135,"[52, 21]",[0]
113,21,Exercises,135,"[36, 23, 6, 26]",[0]
114,30,Lecture,135,"[51, 67, 19, 57]","[55, 40, 86, 54, 47]"
115,45,Exercises,135,"[6, 8]",[0]
116,32,Exercises,135,"[40, 42, 59]",[0]
117,11,Exercises,135,[47],[0]
118,3,Exercises,135,"[66, 58]",[0]
119,50,Exercises,135,"[42, 40, 22]",[0]
120,18,Exercises,135,"[34, 59, 49, 61]",[0]
121,45,Exercises,135,"[46, 40]",[0]
122,39,Exercises,135,"[19, 39, 40]",[0]
123,39,Lecture,135,[27],"[27, 45, 26, 8, 61]"
124,60,Exercises,135,"[12, 35, 46, 53]",[0]
125,20,Exercises,135,"[31, 66, 62]",[0]
126,53,Exercises,135,[60],[0]
127,48,Exercises,135,"[29, 57, 50, 43]",[0]
128,25,Exercises,135,[8],[0]
129,30,Lecture,135,[57],"[14, 75]"
130,23,Lecture,135,"[61, 12, 24]",[78]
131,31,Exercises,135,"[45, 56, 63, 59]",[0]
132,23,Exercises,135,"[25, 16, 13]",[0]
133,58,Exercises,135,"[60, 25, 7, 26]",[0]
134,32,Exercises,135,[29],[0]
135,16,Lecture,135,"[22, 53, 43]","[90, 50, 28, 30]"
136,11,Exercises,135,[22],[0]
137,32,Exercises,135,"[34, 23, 5]",[0]
138,40,Exercises,135,"[60, 25, 2]",[0]
139,25,Lecture,135,"[56, 42, 59]",[29]
140,18,Exercises,135,[60],[0]
141,26,Exercises,135,[51],[0]
142,50,Exercises,135,[42],[0]
143,59,Lecture,135,"[29, 16, 62, 46]","[86, 15]"
144,32,Exercises,135,[30],[0]
145,4,Exercises,135,"[43, 39, 28, 66]",[0]
146,34,Lecture,135,"[31, 40, 15]","[43, 53, 45, 7, 24]"
147,16,Exercises,135,[2],[0]
148,3,Exercises,135,"[31, 66]",[0]
149,39,Lecture,135,"[44, 53]","[26, 22, 5, 15, 64]"
150,13,Exercises,135,"[58, 26]",[0]
151,24,Lecture,135,"[65, 19, 22, 39]","[40, 80, 66]"
152,34,Exercises,135,"[0, 8, 1, 19]",[0]
153,45,Exercises,135,"[59, 25, 24, 39]",[0]
154,25,Exercises,135,[6],[0]
155,39,Exercises,135,"[12, 14, 66]",[0]
156,25,Exercises,135,"[20, 58, 22]",[0]
157,2,Exercises,135,[26],[0]
158,61,Exercises,135,"[12, 26, 51, 46]",[0]
159,45,Exercises,135,[43],[0]
160,9,Exercises,135,"[44, 32]",[0]
161,43,Exercises,135,[11],[0]
162,14,Exercises,135,"[47, 43]",[0]
163,21,Lecture,135,"[23, 40, 34, 36]",[75]
164,13,Exercises,135,"[19, 23]",[0]
165,1,Exercises,135,[3],[0]
166,0,Exercises,135,[0],[0]
167,61,Exercises,135,"[28, 13]",[0]
168,52,Lecture,135,"[2, 21, 33, 18]","[32, 25, 66, 43, 0]"
169,38,Exercises,135,"[5, 13, 57]",[0]
170,53,Exercises,135,"[47, 44]",[0]
171,33,Exercises,135,"[7, 45]",[0]
172,50,Exercises,135,"[46, 14]",[0]
173,42,Exercises,135,"[35, 32]",[0]
174,52,Exercises,135,"[7, 46]",[0]
175,12,Lecture,135,"[40, 39, 64]","[71, 26, 45, 84, 16, 44]"
176,0,Exercises,135,"[61, 34]",[0]
177,52,Exercises,135,"[46, 23, 34, 55]",[0]
178,0,Exercises,135,"[18, 15, 9, 59]",[0]
179,1,Exercises,135,"[32, 26, 28, 46]",[0]
180,49,Lecture,135,[64],"[88, 87, 57, 74]"
181,3,Exercises,135,"[33, 14, 21]",[0]
182,16,Exercises,135,"[60, 5]",[0]
183,51,Exercises,135,"[53, 49, 50]",[0]
184,18,Exercises,135,[66],[0]
185,2,Lecture,135,"[31, 16, 30, 3]","[11, 83, 84, 89, 66]"
186,62,Exercises,135,"[48, 42, 14, 61]",[0]
187,59,Exercises,135,"[16, 67, 27]",[0]
188,17,Lecture,135,"[17, 12]","[72, 18, 33]"
189,6,Exercises,135,"[55, 19]",[0]
190,7,Exercises,135,"[48, 45, 65]",[0]
191,42,Exercises,135,[61],[0]
192,2,Exercises,135,"[55, 26, 10, 36]",[0]
193,41,Lecture,135,"[39, 33, 47, 42]","[87, 62, 54, 21, 9, 63]"
194,27,Exercises,135,"[29, 37, 58]",[0]
195,35,Exercises,135,"[64, 35, 0]",[0]
196,59,Exercises,135,[5],[0]
197,1,Exercises,135,[56],[0]
198,10,Exercises,135,"[51, 49, 58]",[0]
199,44,Exercises,135,"[67, 37]",[0]
200,62,Exercises,135,[66],[0]
201,46,Exercises,135,[7],[0]
202,17,Exercises,135,"[56, 47, 39]",[0]
203,26,Exercises,135,"[4, 54]",[0]
204,36,Lecture,135,"[66, 15, 59, 21]","[7, 22, 48, 35, 5, 47]"
205,12,Exercises,135,"[21, 58, 20]",[0]
206,53,Lecture,135,[20],"[48, 56, 0, 60]"
207,60,Exercises,135,"[23, 22, 2]",[0]
208,9,Exercises,135,[43],[0]
209,35,Lecture,135,"[18, 46]","[76, 81, 55, 17, 79]"
210,0,Lecture,135,"[28, 39]",[91]
211,54,Lecture,135,"[65, 14, 67, 13]","[72, 86, 26, 78, 62]"
212,42,Exercises,135,"[61, 45, 52]",[0]
213,50,Lecture,135,"[33, 10, 5]","[32, 19, 17, 56]"
214,15,Exercises,135,"[5, 11, 36]",[0]
215,48,Exercises,135,"[12, 50, 16]",[0]
216,63,Exercises,135,"[22, 45]",[0]
217,15,Lecture,135,[50],"[79, 5]"
218,29,Exercises,135,[62],[0]
219,18,Lecture,135,"[28, 42]",[91]
220,56,Exercises,135,[16],[0]
221,16,Lecture,135,"[50, 17, 59]",[86]
222,46,Exercises,135,"[47, 64, 43, 35]",[0]
223,56,Exercises,135,"[33, 41, 54]",[0]
224,15,Exercises,135,"[11, 65, 10, 19]",[0]
225,26,Exercises,135,[59],[0]
226,17,Lecture,135,"[66, 5]","[33, 35, 13, 56]"
227,8,Exercises,135,"[60, 58]",[0]
228,46,Exercises,135,"[25, 20]",[0]
229,54,Exercises,135,"[6, 48]",[0]
230,54,Exercises,135,[43],[0]
231,45,Lecture,135,"[44, 53]",[5]
232,2,Exercises,135,"[15, 62]",[0]
233,53,Exercises,135,"[44, 4, 16]",[0]
234,56,Exercises,135,"[29, 54, 18]",[0]
235,61,Exercises,135,"[0, 31, 48]",[0]
236,24,Exercises,135,"[55, 14, 2]",[0]
237,33,Exercises,135,"[50, 31, 63]",[0]
238,2,Lecture,135,"[57, 16, 19]","[52, 14, 67, 91]"
239,13,Exercises,135,[11],[0]
240,0,Exercises,135,[26],[0]
241,61,Exercises,135,"[49, 41]",[0]
242,10,Lecture,135,"[45, 18]","[13, 34]"
243,59,Exercises,135,[17],[0]
244,28,Exercises,135,[30],[0]
245,15,Exercises,135,"[31, 51, 16, 55]",[0]
246,53,Lecture,135,"[31, 1, 61]","[41, 8, 80, 74, 28]"
247,15,Exercises,135,"[0, 17]",[0]
248,43,Exercises,135,[55],[0]
249,4,Exercises,135,"[48, 23]",[0]
250,21,Exercises,135,"[9, 53]",[0]
251,46,Exercises,135,"[18, 42]",[0]
252,34,Exercises,135,"[27, 50, 60]",[0]
253,65,Exercises,135,"[40, 59]",[0]
254,39,Exercises,135,"[64, 54]",[0]
255,17,Exercises,135,[15],[0]
256,47,Exercises,135,"[1, 30, 66]",[0]
257,47,Exercises,135,"[53, 47, 12]",[0]
258,0,Exercises,135,[14],[0]
259,0,Exercises,135,[48],[0]
260,6,Exercises,135,"[61, 49, 27, 48]",[0]
261,2,Exercises,135,"[66, 62, 35, 67]",[0]
262,13,Exercises,135,"[47, 18, 52]",[0]
263,2,Exercises,135,"[28, 38, 35]",[0]
264,17,Lecture,135,"[24, 52, 61, 43]",[32]
265,60,Exercises,135,"[54, 30, 15]",[0]
266,41,Exercises,135,"[61, 63, 32]",[0]
267,9,Exercises,135,"[9, 58, 33]",[0]
268,28,Lecture,135,[9],"[91, 47, 30, 58, 79, 5]"
269,30,Exercises,135,"[34, 22, 53, 50]",[0]
270,17,Exercises,135,[36],[0]
271,64,Lecture,135,"[31, 66, 10, 29]","[62, 15, 12]"
272,55,Lecture,135,"[61, 23, 37]","[48, 18, 51]"
273,30,Exercises,135,"[5, 56, 19]",[0]
274,56,Lecture,135,"[16, 10]",[40]
275,4,Lecture,135,"[47, 39]","[36, 3, 85, 52]"
276,52,Lecture,135,"[67, 3, 11, 25]","[1, 15, 45, 40, 44, 58]"
277,31,Exercises,135,"[18, 7]",[0]
278,2,Lecture,135,[3],"[32, 26, 27]"
279,10,Exercises,135,"[65, 59, 5, 61]",[0]
280,46,Exercises,135,"[24, 35, 6, 62]",[0]
281,52,Exercises,135,[15],[0]
282,43,Lecture,135,"[8, 18, 5, 29]","[57, 32]"
283,60,Lecture,135,"[24, 34, 0, 25]","[45, 4, 70, 3]"
284,6,Lecture,135,"[60, 11, 12, 52]",[67]
285,17,Exercises,135,"[11, 17, 6]",[0]
286,47,Exercises,135,[24],[0]
287,61,Lecture,135,[18],"[2, 44, 5, 3]"
288,24,Exercises,135,"[37, 52, 56]",[0]
289,7,Exercises,135,"[49, 66]",[0]
290,1,Exercises,135,"[20, 19]",[0]
291,23,Lecture,135,"[18, 15]","[23, 78]"
292,9,Exercises,135,"[10, 42, 19]",[0]
293,1,Exercises,135,"[32, 23, 15]",[0]
294,40,Exercises,135,"[17, 19, 31]",[0]
295,39,Exercises,135,[13],[0]
296,49,Exercises,135,[12],[0]
297,17,Exercises,135,"[55, 60, 61, 53]",[0]
298,27,Lecture,135,"[7, 60, 18, 57]","[38, 67]"
299,44,Exercises,135,"[64, 56]",[0]
300,65,Exercises,135,"[22, 58]",[0]
301,31,Exercises,135,[41],[0]
302,3,Lecture,135,[52],"[64, 80]"
303,41,Lecture,135,"[62, 60, 1, 23]","[76, 12, 68]"
304,4,Lecture,135,"[2, 40]","[60, 26, 10, 64, 91, 84]"
305,14,Exercises,135,[18],[0]
306,11,Exercises,135,"[62, 52, 66, 47]",[0]
307,38,Lecture,135,"[56, 62]","[52, 13]"
308,22,Exercises,135,"[40, 5]",[0]
309,51,Lecture,135,"[8, 15]","[12, 47, 54]"
310,48,Exercises,135,[37],[0]
311,36,Exercises,135,"[28, 56]",[0]
312,37,Exercises,135,"[53, 8, 19, 63]",[0]
313,28,Exercises,135,"[6, 21]",[0]
314,18,Exercises,135,"[30, 5]",[0]
315,30,Exercises,135,"[30, 32]",[0]
316,24,Lecture,135,[39],"[42, 12, 54, 73]"
317,58,Exercises,135,"[50, 60, 33]",[0]
318,39,Exercises,135,[13],[0]
319,19,Lecture,135,[44],"[14, 32, 77, 64, 81, 12]"
320,45,Lecture,135,"[7, 52, 32]","[18, 23, 30]"
321,14,Exercises,135,"[39, 49, 4, 57]",[0]
322,26,Exercises,135,"[24, 52, 46, 45]",[0]
323,2,Lecture,135,"[19, 27, 48, 32]","[19, 67, 27, 31, 64]"
324,31,Exercises,135,"[32, 28, 9]",[0]
325,14,Lecture,135,"[10, 24, 65, 31]","[90, 55]"
326,53,Exercises,135,[6],[0]
327,2,Exercises,135,"[15, 30, 52]",[0]
328,49,Exercises,135,[10],[0]
329,28,Exercises,135,"[5, 50]",[0]
330,35,Exercises,135,[6],[0]
331,52,Exercises,135,"[56, 57, 6, 42]",[0]
332,29,Exercises,135,"[34, 52, 43]",[0]
333,40,Exercises,135,"[65, 50, 33, 40]",[0]
334,7,Exercises,135,"[20, 2, 7, 58]",[0]
335,24,Lecture,135,"[29, 30, 15]",[22]
336,27,Exercises,135,[35],[0]
337,29,Lecture,135,"[49, 42, 64, 8]","[14, 79, 23, 55, 49, 37]"
338,7,Exercises,135,"[25, 11]",[0]
339,52,Lecture,135,"[48, 39, 3, 9]","[11, 47, 31, 22, 41]"
340,51,Exercises,135,"[50, 31, 26]",[0]
341,1,Exercises,135,[6],[0]
342,58,Exercises,135,[0],[0]
343,26,Exercises,135,[54],[0]
344,23,Exercises,135,[29],[0]
345,24,Exercises,135,"[49, 26]",[0]
346,26,Lecture,135,"[61, 56]",[57]
347,48,Lecture,135,[26],"[40, 57]"
348,18,Exercises,135,"[40, 33, 26, 1]",[0]
349,51,Exercises,135,"[42, 9, 53, 41]",[0]
350,56,Exercises,135,"[34, 60, 15]",[0]
351,49,Lecture,135,"[42, 6, 49, 25]","[31, 79, 41, 21]"
352,6,Exercises,135,"[64, 65, 16]",[0]
353,3,Exercises,135,[60],[0]
354,44,Lecture,135,"[38, 59, 8, 45]","[82, 76, 72, 56, 88, 68]"
355,9,Exercises,135,"[34, 28]",[0]
356,29,Exercises,135,"[40, 36, 1]",[0]
357,4,Exercises,135,[45],[0]
358,57,Exercises,135,[16],[0]
359,18,Exercises,135,"[23, 29, 32]",[0]
360,62,Exercises,135,[29],[0]
361,25,Lecture,135,"[2, 58]",[83]
362,19,Lecture,135,"[30, 2, 50]","[61, 54, 69, 35, 44, 89]"
363,40,Exercises,135,"[64, 39, 25]",[0]
364,29,Exercises,135,"[64, 18, 33]",[0]
365,53,Lecture,135,[51],"[89, 32, 80]"
366,52,Exercises,135,"[8, 48, 34, 47]",[0]
367,57,Exercises,135,"[35, 19, 24]",[0]
368,47,Lecture,135,[0],"[48, 50, 80, 14]"
369,56,Exercises,135,"[54, 52, 19]",[0]
370,1,Exercises,135,"[21, 58]",[0]
371,20,Lecture,135,"[53, 62, 18]","[20, 56]"
372,12,Exercises,135,"[60, 39, 19]",[0]
373,14,Lecture,135,"[41, 38, 15, 44]","[21, 52, 81]"
374,55,Exercises,135,"[47, 63, 19]",[0]
375,55,Lecture,135,"[54, 57]","[26, 53, 80, 76]"
376,0,Lecture,135,"[25, 66]",[41]
377,39,Exercises,135,[46],[0]
378,17,Exercises,135,[20],[0]
379,36,Exercises,135,"[47, 3, 12]",[0]
380,60,Exercises,135,"[54, 19, 55]",[0]
381,7,Exercises,135,"[21, 58]",[0]
382,11,Exercises,135,"[39, 60, 33, 42]",[0]
383,3,Exercises,135,"[33, 23, 55, 44]",[0]
384,63,Exercises,135,[29],[0]
385,3,Lecture,135,[43],"[79, 56, 39, 27, 49]"
386,5,Exercises,135,"[44, 67, 39, 46]",[0]
387,4,Exercises,135,"[19, 28]",[0]
388,63,Lecture,135,[11],"[64, 63]"
389,63,Lecture,135,"[60, 29, 66]","[60, 86]"
390,57,Exercises,135,[18],[0]
391,18,Lecture,135,[17],"[57, 42, 14, 9, 89, 28]"
392,28,Exercises,135,"[1, 33, 12, 31]",[0]
393,60,Lecture,135,"[45, 31]","[13, 19, 81, 51, 68, 41]"
394,22,Exercises,135,"[13, 63]",[0]
395,23,Exercises,135,"[6, 49]",[0]
396,61,Exercises,135,"[58, 33]",[0]
397,31,Exercises,135,"[6, 27, 41]",[0]
398,54,Exercises,135,"[66, 60, 10, 32]",[0]
399,59,Exercises,135,[36],[0]
400,62,Exercises,135,"[18, 12]",[0]
401,54,Exercises,135,"[12, 56, 29]",[0]
402,42,Exercises,135,"[21, 28, 9]",[0]
403,50,Exercises,135,"[10, 15, 3]",[0]
404,53,Exercises,135,[63],[0]
405,47,Exercises,135,"[11, 25, 22]",[0]
406,60,Exercises,135,"[36, 64, 61]",[0]
407,11,Exercises,135,"[47, 4, 23]",[0]
408,42,Exercises,135,"[21, 52, 36, 67]",[0]
409,63,Exercises,135,"[37, 29]",[0]
410,23,Lecture,135,[64],"[17, 70, 55]"
411,1,Exercises,135,[5],[0]
412,27,Exercises,135,"[4, 64]",[0]
413,14,Exercises,135,"[23, 32, 12]",[0]
414,8,Exercises,135,"[5, 4, 33]",[0]
415,7,Exercises,135,"[34, 21]",[0]
416,24,Lecture,135,"[8, 52, 43, 4]","[60, 68, 35, 72]"
417,38,Exercises,135,"[2, 23, 53, 51]",[0]
418,62,Lecture,135,"[64, 24]","[19, 6]"
419,5,Exercises,135,"[12, 0, 35, 32]",[0]
420,49,Lecture,135,[8],"[70, 46, 76, 50, 79, 3]"
421,19,Exercises,135,"[34, 61]",[0]
422,5,Exercises,135,"[34, 56]",[0]
423,8,Lecture,135,[4],"[84, 38, 14, 83]"
424,7,Lecture,135,"[23, 1, 25]","[56, 68, 57, 74]"
425,64,Lecture,135,"[43, 5]",[37]
426,47,Lecture,135,[13],"[30, 71, 65, 42, 22, 83]"
427,34,Exercises,135,[21],[0]
428,37,Exercises,135,"[42, 56]",[0]
429,18,Exercises,135,"[60, 35, 65]",[0]
430,5,Exercises,135,"[19, 59]",[0]
431,12,Lecture,135,[36],"[67, 77, 57, 84, 9, 2]"
432,13,Exercises,135,[60],[0]
433,3,Exercises,135,"[45, 5]",[0]
434,34,Exercises,135,"[2, 49, 40]",[0]
435,2,Exercises,135,"[37, 67, 4, 29]",[0]
436,12,Exercises,135,"[63, 46, 64]",[0]
437,41,Exercises,135,"[61, 29]",[0]
438,29,Exercises,135,"[24, 18, 29, 53]",[0]
439,56,Exercises,135,[56],[0]
440,43,Exercises,135,"[50, 9]",[0]
441,46,Lecture,135,"[12, 16]","[90, 8]"
442,56,Exercises,135,"[29, 26]",[0]
443,59,Exercises,135,"[6, 63, 22, 25]",[0]
444,28,Exercises,135,[36],[0]
445,49,Exercises,135,[61],[0]
446,6,Lecture,135,[39],"[21, 35, 45]"
447,63,Exercises,135,[27],[0]
448,48,Exercises,135,[15],[0]
449,12,Lecture,135,[61],"[33, 63, 2, 18]"
450,26,Exercises,135,[10],[0]
451,46,Exercises,135,"[52, 18, 7, 43]",[0]
452,39,Exercises,135,"[8, 42]",[0]
453,16,Exercises,135,"[7, 4]",[0]
454,51,Lecture,135,"[58, 3]","[67, 37]"
455,52,Exercises,135,"[43, 47, 19]",[0]
456,61,Lecture,135,[26],"[85, 23, 1]"
457,15,Exercises,135,"[54, 21, 41, 0]",[0]
458,6,Exercises,135,[41],[0]
459,54,Exercises,135,[37],[0]
460,6,Exercises,135,"[56, 25]",[0]
461,34,Exercises,135,[53],[0]
462,41,Exercises,135,"[47, 30]",[0]
463,60,Exercises,135,"[66, 24]",[0]
464,17,Exercises,135,"[57, 4]",[0]
465,49,Lecture,135,"[6, 59, 35, 60]","[8, 12, 0, 70, 22, 45]"
466,61,Exercises,135,"[11, 42, 52, 1]",[0]
467,32,Exercises,135,"[30, 58]",[0]
468,31,Exercises,135,"[33, 23, 15, 32]",[0]
469,50,Exercises,135,"[38, 10, 12, 61]",[0]
470,16,Exercises,135,"[2, 39, 0]",[0]
471,24,Exercises,135,"[46, 8, 3]",[0]
472,49,Exercises,135,"[13, 38]",[0]
473,5,Exercises,135,"[44, 33, 61, 5]",[0]
474,43,Exercises,135,"[33, 18, 4]",[0]
475,42,Exercises,135,"[35, 12, 38, 64]",[0]
476,22,Exercises,135,"[59, 31, 64, 44]",[0]
477,50,Lecture,135,"[31, 30, 3]","[30, 74, 0, 91, 62]"
478,2,Exercises,135,[24],[0]
479,52,Lecture,135,"[63, 38, 12, 45]",[28]
480,16,Exercises,135,"[1, 7, 54]",[0]
481,38,Exercises,135,"[8, 54, 43]",[0]
482,41,Lecture,135,[30],"[23, 42, 70, 48, 17]"
483,61,Exercises,135,"[20, 64]",[0]
484,20,Lecture,135,"[17, 3, 1]","[61, 46, 19]"
485,42,Exercises,135,"[53, 19, 24]",[0]
486,7,Lecture,135,"[27, 36, 52, 21]","[27, 13]"
487,34,Lecture,135,"[23, 20, 61]",[70]
488,20,Exercises,135,"[65, 0, 45]",[0]
489,62,Exercises,135,[15],[0]
490,60,Exercises,135,[4],[0]
491,61,Lecture,135,"[53, 41, 25, 52]","[66, 2, 25]"
492,34,Exercises,135,[39],[0]
493,8,Lecture,135,"[58, 24]",[19]
494,13,Exercises,135,"[58, 1, 46]",[0]
495,25,Exercises,135,"[15, 64]",[0]
496,65,Exercises,135,"[27, 62, 42]",[0]
497,26,Exercises,135,"[41, 32, 53, 49]",[0]
498,12,Exercises,135,"[36, 20, 39]",[0]
499,25,Exercises,135,[5],[0]
500,13,Exercises,135,"[55, 21, 14, 63]",[0]
501,26,Exercises,135,"[26, 11]",[0]
502,45,Lecture,135,"[36, 22, 10]","[38, 85, 82, 45, 32]"
503,35,Exercises,135,"[45, 44]",[0]
504,52,Exercises,135,"[57, 54]",[0]
505,21,Exercises,135,"[62, 39, 43, 46]",[0]
506,19,Exercises,135,"[45, 63, 6, 67]",[0]
507,21,Exercises,135,"[59, 35, 37, 30]",[0]
508,12,Exercises,135,"[54, 35, 27, 21]",[0]
509,49,Exercises,135,"[44, 9, 7]",[0]
510,65,Exercises,135,[65],[0]
511,20,Lecture,135,"[63, 26, 22, 48]","[65, 52, 84, 80, 83, 32]"
512,60,Exercises,135,[3],[0]
513,34,Exercises,135,[30],[0]
514,17,Exercises,135,"[31, 32, 22]",[0]
515,46,Lecture,135,"[27, 51, 17, 44]","[21, 19, 62, 3]"
516,27,Exercises,135,"[8, 9]",[0]
517,63,Lecture,135,[57],"[38, 54, 55]"
518,18,Lecture,135,"[56, 47, 45]","[68, 51]"
519,46,Lecture,135,"[52, 48]","[83, 32, 53]"
520,32,Lecture,135,[61],"[57, 89, 88, 55]"
521,19,Exercises,135,"[11, 24]",[0]
522,7,Exercises,135,"[37, 65]",[0]
523,32,Exercises,135,"[26, 65, 67, 24]",[0]
524,17,Exercises,135,"[37, 3, 57, 33]",[0]
525,32,Exercises,135,"[56, 29, 20, 2]",[0]
526,49,Exercises,135,[17],[0]
527,43,Exercises,135,"[38, 20, 53]",[0]
528,24,Exercises,135,"[32, 62]",[0]
529,24,Exercises,135,[11],[0]
530,31,Exercises,135,[56],[0]
531,64,Exercises,135,[65],[0]
532,62,Exercises,135,"[66, 36]",[0]
533,13,Exercises,135,"[40, 65, 61, 18]",[0]
534,8,Exercises,135,"[16, 12, 39]",[0]
535,6,Exercises,135,"[59, 1, 10, 54]",[0]
536,52,Exercises,135,[41],[0]
537,41,Exercises,135,[57],[0]
538,43,Exercises,135,[47],[0]
539,27,Exercises,135,"[3, 19, 11]",[0]
540,33,Lecture,135,"[50, 58, 30]",[79]
541,36,Lecture,135,"[20, 13]","[10, 40]"
